ants1 :  0.49189577005803586 [1]
ants3 :  0.4703924852882627 [4]
bag :  0.4195673506186214 [0]
ball1 :  0.8024161665063155 [0]
ball2 :  0.4532277542166412 [1]
basketball :  0.6401288584194013 [1]
birds1 :  0.32327239134542224 [10]
blanket :  0.40533221973929295 [0]
bmx :  0.17345811980411263 [1]
bolt1 :  0.5923537275589142 [1]
bolt2 :  0.6555890642201244 [4]
book :  0.3867215858994141 [6]
butterfly :  0.26241734639761294 [0]
car1 :  0.558833045753571 [6]
conduction1 :  0.27433087028563025 [8]
crabs1 :  0.4486451550876698 [5]
crossing :  0.78056914845774 [0]
dinosaur :  0.5086724557278066 [3]
drone1 :  0.40468809987044707 [16]
drone_across :  0.5726531212691401 [1]
drone_flip :  0.40124898785075475 [4]
fernando :  0.28684034186443386 [2]
fish1 :  0.4831293448324023 [4]
fish2 :  0.5128626023322188 [4]
fish3 :  0.7733728762108592 [0]
flamingo1 :  0.20449603930939064 [6]
frisbee :  0.4567165169273577 [8]
girl :  0.6460765635342149 [5]
glove :  0.5210222171476254 [3]
godfather :  0.32589402936924344 [3]
graduate :  0.4602232053973926 [4]
gymnastics1 :  0.5700031639332132 [2]
gymnastics2 :  0.47379133870262047 [1]
gymnastics3 :  0.35063915744197005 [2]
hand :  0.45709336278044055 [9]
handball1 :  0.4860632140030144 [4]
handball2 :  0.5758374104832952 [3]
helicopter :  0.710343642506057 [2]
iceskater1 :  0.48294228030729053 [2]
iceskater2 :  0.289086499074097 [2]
leaves :  0.458071721614235 [4]
matrix :  0.552186722225613 [3]
motocross1 :  0.5536204360812137 [3]
motocross2 :  0.2634483131707883 [0]
nature :  0.3178100526375771 [3]
pedestrian1 :  0.6402208356330028 [0]
rabbit :  0.3088077784958496 [8]
racing :  0.3226153505894974 [1]
road :  0.6543989010392527 [2]
shaking :  0.6348413909824802 [0]
sheep :  0.18497340460752304 [0]
singer2 :  0.6496719533389204 [0]
singer3 :  0.2361181817931246 [1]
soccer1 :  0.44836822749751165 [10]
soccer2 :  0.7033700612576111 [6]
soldier :  0.3174415079944105 [3]
tiger :  0.649096453480814 [3]
traffic :  0.8109611504408251 [1]
wiper :  0.5433847081903183 [2]
zebrafish1 :  0.27475634399348975 [10]
eval ar: 100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:eval ar: 100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  2.75it/s]
eval eao: 100%|███████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.83it/s]
---------------------------------------------------------------------
|    Tracker Name     | Accuracy | Robustness | Lost Number |  EAO  |
---------------------------------------------------------------------
| SiamRPN++(Original) |  0.490   |   0.927    |    198.0    | 0.153 |
---------------------------------------------------------------------

